TWA,TWS,VMG,Jib(%),Main%,Date,Configuration
45,5,6.5,100,0,NA,original main and jib
125,7,7,0,50,NA,original main and jib
45,13,5.8,100,50,25-Jul-14,original main and jib
45,6,3,100,50,25-Jul-14,original main and jib
30,10,2.8,100,50,25-Jul-14,original main and jib
45,10,5.5,100,50,25-Jul-14,original main and jib
45,8,5.3,100,50,25-Jul-14,original main and jib
30,7,3.8,100,50,25-Jul-14,original main and jib
120,7,3.7,100,50,25-Jul-14,original main and jib
120,9,4,100,50,25-Jul-14,original main and jib
120,9,4.1,100,50,25-Jul-14,original main and jib
135,12,2.9,0,50,25-Jul-14,original main and jib